GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TechnicalAssesment,com.oaitsetseleng.techassesment.controllers,BillController,0,237,0,20,0,47,0,17,0,7
TechnicalAssesment,com.oaitsetseleng.techassesment.views,BillView,5,3,0,0,1,1,1,1,1,1
TechnicalAssesment,com.oaitsetseleng.techassesment.models,Person,0,55,0,0,0,23,0,10,0,10
TechnicalAssesment,com.oaitsetseleng.techassesment.models,Items,16,27,0,0,8,10,4,5,4,5
TechnicalAssesment,com.oaitsetseleng.techassesment.models,Bill,0,56,0,0,0,24,0,12,0,12
TechnicalAssesment,com.oaitsetseleng.techassesment,TechnicalAssesmentApplication,5,3,0,0,2,1,1,1,1,1
,,,,,,,11,106,6,46,6,36
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,91%,,,,,86%
